id,label,score,prediction
1,1,0.02494458,1
2,1,0.10805626,1
3,0,0.13148753,0
4,1,0.07617881,1
5,0,0.12823370,0
6,0,0.13170467,0
7,1,0.11634257,1
8,0,0.12358140,0
9,1,0.03433492,1
10,0,0.12034365,0
11,0,0.12313273,0
12,0,0.11608252,1
13,1,0.08153379,1
14,0,0.10742179,1
15,0,0.13608360,0
16,1,0.02827906,1
17,1,0.05936483,1
18,0,0.14338912,0
19,0,0.11744484,1
20,0,0.13801723,0
21,1,0.08661151,1
22,0,0.13212199,0
23,0,0.13414786,0
24,0,0.11259371,1
25,0,0.14603204,0
26,0,0.12951010,0
27,0,0.12350424,0
28,0,0.13763190,0
29,0,0.13860771,0
30,1,0.12804064,0
31,0,0.14950167,0
32,0,0.13614704,0
33,0,0.13973478,0
34,1,0.07491947,1
35,0,0.14630202,0
36,0,0.14078392,0
37,0,0.13185920,0
39,1,0.08804831,1
40,0,0.11892076,1
42,0,0.09623055,1
45,0,0.10114232,1
47,0,0.11201355,1
49,0,0.10409458,1
52,0,0.11567630,1
55,0,0.12544322,0
56,0,0.11738348,1
57,0,0.12959964,0
59,0,0.12532040,0
61,0,0.10468308,1
64,0,0.11398167,1
65,0,0.09627885,1
72,0,0.10803178,1
75,1,0.06095787,1
76,1,0.06870683,1
77,0,0.11954259,1
78,0,0.12666958,0
79,1,0.11310114,1
80,1,0.09931950,1
81,1,0.10770229,1
82,1,0.07250022,1
83,0,0.13722550,0
84,1,0.09231775,1
86,1,0.11230215,1
87,1,0.05054279,1
88,1,0.07299555,1
89,1,0.10285064,1
90,1,0.11393569,1
91,1,0.09054029,1
92,1,0.06322311,1
93,1,0.07693388,1
95,1,0.07906267,1
96,1,0.07180875,1
97,1,0.10764082,1
98,1,0.12664290,0
99,1,0.10079053,1
