id,label,score,prediction
deepset-001,1,0.02494458,1
deepset-002,1,0.10805626,1
deepset-003,0,0.13148753,0
deepset-004,1,0.07617881,1
deepset-005,0,0.12823370,0
deepset-006,0,0.13170467,0
deepset-007,1,0.11634257,1
deepset-008,0,0.12358140,0
deepset-009,1,0.03433492,1
deepset-010,0,0.12034365,0
deepset-011,0,0.12313273,0
deepset-012,0,0.11608252,1
deepset-013,1,0.08153379,1
deepset-014,0,0.10742179,1
deepset-015,0,0.13608360,0
deepset-016,1,0.02827906,1
deepset-017,1,0.05936483,1
deepset-018,0,0.14338912,0
deepset-019,0,0.11744484,1
deepset-020,0,0.13801723,0
deepset-021,1,0.08661151,1
deepset-022,0,0.13212199,0
deepset-023,0,0.13414786,0
deepset-024,0,0.11259371,1
deepset-025,0,0.14603204,0
deepset-026,0,0.12951010,0
deepset-027,0,0.12350424,0
deepset-028,0,0.13763190,0
deepset-029,0,0.13860771,0
deepset-030,1,0.12804064,0
deepset-031,0,0.14950167,0
deepset-032,0,0.13614704,0
deepset-033,0,0.13973478,0
deepset-034,1,0.07491947,1
deepset-035,0,0.14630202,0
deepset-036,0,0.14078392,0
deepset-037,0,0.13185920,0
deepset-039,1,0.08804831,1
deepset-040,0,0.11892076,1
deepset-042,0,0.09623055,1
deepset-045,0,0.10114232,1
deepset-047,0,0.11201355,1
deepset-049,0,0.10409458,1
deepset-052,0,0.11567630,1
deepset-055,0,0.12544322,0
deepset-056,0,0.11738348,1
deepset-057,0,0.12959964,0
deepset-059,0,0.12532040,0
deepset-061,0,0.10468308,1
deepset-064,0,0.11398167,1
deepset-065,0,0.09627885,1
deepset-072,0,0.10803178,1
deepset-075,1,0.06095787,1
deepset-076,1,0.06870683,1
deepset-077,0,0.11954259,1
deepset-078,0,0.12666958,0
deepset-079,1,0.11310114,1
deepset-080,1,0.09931950,1
deepset-081,1,0.10770229,1
deepset-082,1,0.07250022,1
deepset-083,0,0.13722550,0
deepset-084,1,0.09231775,1
deepset-086,1,0.11230215,1
deepset-087,1,0.05054279,1
deepset-088,1,0.07299555,1
deepset-089,1,0.10285064,1
deepset-090,1,0.11393569,1
deepset-091,1,0.09054029,1
deepset-092,1,0.06322311,1
deepset-093,1,0.07693388,1
deepset-095,1,0.07906267,1
deepset-096,1,0.07180875,1
deepset-097,1,0.10764082,1
deepset-098,1,0.12664290,0
deepset-099,1,0.10079053,1
