threshold,mode,precision,recall,f1,tp,fp,fn
0.20,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.20,Lightweight Model Only,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.20,Hybrid / Full Pipeline (legacy OR),0.948849104859335,0.8875598086124402,0.9171817058096416,371,20,47
0.20,Hybrid Calibrated,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.25,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.25,Lightweight Model Only,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.25,Hybrid / Full Pipeline (legacy OR),0.948849104859335,0.8875598086124402,0.9171817058096416,371,20,47
0.25,Hybrid Calibrated,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.30,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.30,Lightweight Model Only,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.30,Hybrid / Full Pipeline (legacy OR),0.948849104859335,0.8875598086124402,0.9171817058096416,371,20,47
0.30,Hybrid Calibrated,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.35,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.35,Lightweight Model Only,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.35,Hybrid / Full Pipeline (legacy OR),0.948849104859335,0.8875598086124402,0.9171817058096416,371,20,47
0.35,Hybrid Calibrated,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.40,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.40,Lightweight Model Only,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.40,Hybrid / Full Pipeline (legacy OR),0.948849104859335,0.8875598086124402,0.9171817058096416,371,20,47
0.40,Hybrid Calibrated,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.45,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.45,Lightweight Model Only,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.45,Hybrid / Full Pipeline (legacy OR),0.948849104859335,0.8875598086124402,0.9171817058096416,371,20,47
0.45,Hybrid Calibrated,0.9946380697050938,0.8875598086124402,0.9380530973451329,371,2,47
0.50,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.50,Lightweight Model Only,0.9945054945054945,0.8660287081339713,0.9258312020460358,362,2,56
0.50,Hybrid / Full Pipeline (legacy OR),0.9477806788511749,0.868421052631579,0.9063670411985019,363,20,55
0.50,Hybrid Calibrated,0.9945205479452055,0.868421052631579,0.9272030651340996,363,2,55
0.55,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.55,Lightweight Model Only,0.9943342776203966,0.8397129186602871,0.9105058365758756,351,2,67
0.55,Hybrid / Full Pipeline (legacy OR),0.946236559139785,0.8421052631578947,0.8911392405063291,352,20,66
0.55,Hybrid Calibrated,0.9943502824858758,0.8421052631578947,0.9119170984455959,352,2,66
0.60,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.60,Lightweight Model Only,1.0,0.8038277511961722,0.8912466843501327,336,0,82
0.60,Hybrid / Full Pipeline (legacy OR),0.949438202247191,0.8086124401913876,0.8733850129198966,338,18,80
0.60,Hybrid Calibrated,1.0,0.8086124401913876,0.8941798941798942,338,0,80
0.65,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.65,Lightweight Model Only,1.0,0.7655502392344498,0.8672086720867208,320,0,98
0.65,Hybrid / Full Pipeline (legacy OR),0.9472140762463344,0.7727272727272727,0.8511198945981555,323,18,95
0.65,Hybrid Calibrated,1.0,0.7727272727272727,0.8717948717948718,323,0,95
0.70,Rule Only,0.8448275862068966,0.23444976076555024,0.36704119850187267,98,18,320
0.70,Lightweight Model Only,1.0,0.7320574162679426,0.845303867403315,306,0,112
0.70,Hybrid / Full Pipeline (legacy OR),0.944954128440367,0.7392344497607656,0.8295302013422818,309,18,109
0.70,Hybrid Calibrated,1.0,0.7392344497607656,0.8500687757909215,309,0,109
